"","group_iTreg","group_Th17","group_Th2","group_Th0"
"DUSP4",1.18936841352435,-0.229693085091909,-1.40806540966131,-0.779526666587216
"BHLHE40",1.05132627591684,-0.500450774790447,-1.14967446712593,NA
"DHRS3",0.698535070626811,-0.577916292259422,-0.300410803097046,NA
"LDHA",0.52912970333179,-0.328286781182712,-0.230475735132617,-0.196558416403894
"DNAJC12",0.912572674218343,NA,-1.1229048003346,-0.78617481583022
"MT-CYB",-0.873510297864711,0.160345550599135,0.505532804694052,0.389959544798499
"MT-ATP6",-0.813645435205829,-0.1191921215521,0.658505382600997,0.527729102784464
"CTLA4",0.71754959084689,-0.441826146354824,-0.348369245184863,-0.271382966998084
"BATF3",-0.838736531499168,0.258185866401307,0.865746220001885,-0.547927575591287
"ANKRD37",0.656026416183104,NA,-0.741424545493256,-0.428089411693884
"GAPDH",0.427420935034979,NA,-0.595061264250154,NA
"SATB1",-0.72305209310898,-0.130486461311639,0.77530470846069,0.248408853058478
"GSTO1",0.565708472194878,NA,-0.579499427073134,-0.567837944953594
"VIM",0.719429196843527,0.113136701204999,-1.3442970870989,-0.322347421392911
"CYTIP",0.643797518281404,-0.175136355741148,-0.79744460501699,NA
"LAPTM5",0.529716979463222,-0.169050621715006,-0.50292498998059,-0.142530327652174
"IVNS1ABP",0.732388872681972,0.103102237086669,-1.03781625061343,-0.654059021564976
"MT-CO2",-0.632697095204636,0.264833174320043,0.24890841128622,0.246523946984619
"OXNAD1",0.512007111422441,-0.497226854995777,-0.449644267846522,0.370563504199601
"RNF213",-0.688225411979293,0.320358287202559,0.240157068269085,0.239809132061584
"RGS1",0.687129150449627,-0.372196347521181,-0.612686932996319,NA
"AC092580.4",-0.68752763532846,-0.710910504854517,1.1302708625301,0.438425026841821
"MT-CO3",-0.668740358881406,0.151424605781667,0.421561507280041,0.250451538465611
"CCL5",0.430553695645039,0.236439457195508,-1.13366613146373,NA
"PMEPA1",0.280162926463375,NA,-0.238090338064905,-0.223357175752247
"HILPDA",0.508055938730187,-0.488399797517072,0.242003754304593,-0.65288116042766
"RDX",0.674934216961492,NA,-0.814501280401704,-0.501747506248266
"FDX1",0.648012466906303,-0.301857972696098,-0.41280452716393,-0.282186971785169
"FOXP3",0.32210251477433,-0.137483109425968,-0.184361538103477,-0.153147871551427
"HOPX",-0.635266432519776,0.478618746208988,0.182281727039937,NA
"PGM2L1",0.534110920944796,-0.197494597347327,-0.256784620474114,-0.44292515929196
"GNPTAB",0.549964422075777,-0.397761268722039,-0.209719313875749,-0.145117873432285
"SAMSN1",0.628591220379122,-0.435396578770021,-0.539445979226372,0.150020257467772
"MT-ND3",-0.588304429214301,0.619994552189396,-0.190079471966678,NA
"EVI2A",0.508187427350483,-0.131205786021848,-0.400644153914913,-0.303561549650863
"MRPS26",-0.836839108259723,-0.391171934273855,1.49302989299073,-0.645160982411596
"UBE2B",0.48275005906101,-0.202372707374582,-0.316234230928342,-0.211453042216241
"MIF",0.403628634746984,0.273575163142446,-0.97325232363186,-0.254808564559198
"OCIAD2",0.47376820155489,0.189918298718831,-0.70048264286824,-0.561789846560685
"ENO2",0.467354696520799,NA,-0.524095542938641,-0.263042591356976
"LAT",0.491220580483411,-0.257032564840981,-0.103245900911546,-0.450117168406739
"RALA",0.430629985728507,0.227428902921856,-0.734074169409036,-0.492747245800719
"RHOG",0.457376716495397,-0.110618619760215,-0.523359151116564,NA
"BTG1",0.465327554128841,0.372673524556523,-1.13597968775005,-0.489940451995884
"PPFIBP1",0.293550461998934,-0.324562675685799,-0.284544598881006,0.345745644507506
"APOBEC3H",0.492680518296698,0.194587176073944,-0.730594511170299,-0.58730492450205
"MT-ND5",-0.553303389951038,NA,0.549720516436116,0.186322515501155
"SLC2A3",0.471153853088676,-0.229418696909004,-0.493422112033807,NA
"WDR54",0.358717346081193,NA,-0.323093795449849,-0.229771280869213
"BNIP3L",0.445980496384648,-0.282195975422359,-0.333173931908166,NA
"NR3C1",0.506583659859983,-0.325835341995253,-0.225293861850004,-0.155427903582057
"PHTF2",0.355487337304843,-0.24505660113683,-0.156957746363516,NA
"WSB1",0.483390177513543,-0.272342173165177,-0.333788114643587,NA
"PPP1R2",0.427127793649121,-0.107598300970346,-0.285769594382153,-0.566465982410097
"BEND5",0.459127479896601,-0.214627426410083,-0.266059688401072,-0.201373530816354
"PNRC1",0.39743167096464,-0.307400654264539,-0.302650421519941,0.145692780082331
"HERC5",-0.552311439305729,0.520575496316367,-0.318974884650625,0.366952944417768
"LST1",0.423628137784505,-0.300504382298398,-0.434785212224437,0.231156715821688
"GEM",0.312263221664565,-0.125728077201772,-0.19785010109373,-0.134902759361369
"APOD",0.797007316600389,-0.291285305030288,-0.569522097291766,-0.481710631568164
"LINC00152",0.492435635311101,NA,-0.470452912149388,-0.290878302434392
"MAL",-0.539520004746943,-0.394022051166069,0.64811589498232,0.571751886814055
"RGS10",0.371226478754928,NA,-0.370393853549212,-0.272384279952536
"INPP5F",0.406502982963277,NA,-0.398578098711796,-0.311058549765615
"AIM2",-0.272367519613637,NA,0.35887857357025,NA
"NDFIP1",0.393882899318007,NA,-0.373729939032344,-0.351428354513799
"MT-CO1",-0.35294131397257,0.160050781462238,0.155039496673997,0.126937103872878
"TSC22D3",0.377460316580692,-0.206486062769454,-0.249420344619673,NA
"CACYBP",0.388152406387485,-0.165930339971085,-0.194677348534972,-0.234821416812222
"WDR45B",0.369574570353158,-0.133730026029022,-0.272460545318317,-0.14470437220579
"RPS6KA5",-0.250788375915334,NA,0.242450513417361,0.281490643201728
"ATP1B1",0.436654141013827,NA,-0.414904832986458,-0.335465266284313
"RSBN1",0.297519234069617,-0.177349665202242,NA,-0.215328034702844
"HNRNPAB",-0.446369786201956,NA,0.387971845798344,0.250953749109625
"RNF125",-0.572598681949134,-0.60869941148153,1.25706571348295,-0.123831384986628
"PIK3IP1",0.3872830767491,NA,-0.307151434719558,-0.313682773530822
"VDAC1",0.301048296879794,NA,-0.361870779296509,-0.203229008884607
"LMCD1",0.270890127113267,NA,-0.182872312835669,-0.167270365061877
"ARPC1B",-0.419951810102276,-0.152278913173765,0.484119566884384,0.290682402900305
"FXYD5",0.319623449345422,NA,-0.563333596858415,NA
"SELL",0.486843492487219,NA,-0.7274641805714,-0.165895606359233
"PARP1",-0.407111929741727,NA,0.374811191017819,0.217647215000263
"LGALS1",0.47787110015633,0.143236766838225,-0.684054822091182,-0.473980583356352
"ZFP36L2",0.487600862280714,-0.41015990717503,-0.255891953683631,NA
"CFLAR",0.395930831407104,0.294329655074314,-0.762183860364502,-0.535807871403684
"CD44",0.431836804793579,0.12950122429439,-0.665391138811746,-0.342551189549547
"IL2RA",0.503276898701865,-0.246828523923966,-0.514609683374657,NA
"RGCC",0.463908489205801,0.816306131581356,-1.53045684956791,-1.64677194402719
"TRBC2",0.512555526426153,NA,-0.75802139816293,-0.114284207999352
"C4orf3",0.327794434694723,NA,-0.438019638800341,NA
"LBR",-0.38412758436758,-0.156149114687458,0.493171540866765,0.226831797245326
"TNFAIP8",0.437303814909739,NA,-0.584442378838377,-0.286226925612425
"MT-ND4",-0.310878767341921,0.132291476903421,0.169769232167741,0.28355669565239
"SDF2L1",-0.36557484460443,NA,0.479440303676454,NA
"CLK1",0.363072661404484,0.108878562859177,-0.448978735405909,-0.410698301682838
"AIMP1",0.33184455186639,-0.105524488407624,-0.154451879111305,-0.287190770517721
"PPM1K",-0.341255998643497,0.126209991514243,NA,0.299278921039238
"CNPY2",-0.311309012365295,NA,0.14753934076477,0.26311481457229
"BNIP3",0.386836783165423,-0.282195975422359,-0.292706313689955,-0.379662266571147
"ITM2A",0.371116867939734,-0.317145210652884,-0.190724012418441,NA
"H3F3A",-0.520751163380083,0.139248108922066,0.297828913180656,0.231339559839804
"COX20",0.339631908654851,-0.107484639890539,-0.170748044639994,-0.276645319174004
"LPXN",0.342217784942057,-0.175929576066541,-0.230446982524132,NA
"DYNLT1",-0.353235795709013,NA,0.187029408940588,0.340927809494181
"GLIPR1",0.299606742077975,NA,-0.305621429891849,-0.174550024505065
"RAB8B",0.471709257688004,-0.450400997057994,NA,NA
"PRKDC",-0.380305311413559,NA,0.342119098149296,0.273127961241165
"DDX46",-0.333564025341272,0.105320624386116,0.197946599262142,0.13278753071586
"CLK3",0.270038380136719,-0.133299016796642,-0.177141842351942,NA
"ADTRP",0.373954379830003,NA,-0.350716629536823,-0.365869495882183
"FMNL1",0.32061416486908,-0.18903406964948,-0.222914792985801,NA
"DDIT4",0.436649546612021,0.269479059232931,-0.679063182826956,-0.706763346115618
"PCBP1",0.292870101232742,NA,-0.343197490689403,-0.106811962066065
"EIF4A2",0.302276089701813,-0.147503953455629,-0.142324260370209,-0.149232864213165
"EIF4B",-0.385197195993819,-0.114733370335764,0.466856270567275,0.200696436236798
"LGALS9",0.35659130429604,-0.117483952533599,-0.471067589723692,NA
"PPP1R14A",-0.236447997397436,-0.220644637747592,0.632281716802448,-0.166082047251696
"LINC01281",0.277068092115104,-0.155409985579892,NA,-0.160718795692458
"NELL2",0.274921202114637,NA,-0.307450114910562,-0.18056891926472
"LGALS3",0.400720590198239,0.471643450191648,-1.01179834506721,-0.732765753420064
"RABGAP1L",0.323584418946401,-0.179324181163332,-0.187193288708687,NA
"IL2RG",0.266891154140292,-0.182139776970552,-0.406850259681171,0.306703419359693
"EIF3A",-0.376794873753985,-0.128522397603797,0.379307561610092,0.338515532898826
"AHCYL2",0.280524262425815,0.268294095513231,-0.528266282922714,-0.476522589331391
"CCDC85B",-0.430280158054165,0.104532616820949,0.189640872146544,0.301942601612103
"RPS29",0.188734973235098,NA,-0.418210185856526,NA
"YBX1",-0.320908825393185,-0.175190324934945,0.469571794170339,0.191104954472499
"PAIP2",0.335008192462147,NA,-0.345523519234037,-0.183406265247349
"EPS8L2",0.382109646852723,NA,-0.40127592158879,-0.308985338250691
"SLC37A3",-0.273364833212082,-0.115167357893487,0.487848175650543,NA
"MALT1",0.435036289221646,NA,-0.589291964171742,NA
"BZW1",0.408501824440292,NA,-0.428203767140278,-0.373627565701549
"NRN1",0.3451071830155,-0.200114673644197,-0.272328643429011,NA
"SNX9",0.398288089987628,-0.339281188481285,-0.164648173337178,NA
"BRK1",0.313454443247092,-0.231953168991747,-0.100278837173794,NA
"IKZF4",0.206309646141169,NA,-0.155024349821832,-0.140398721027523
"TXNRD1",-0.275046747327484,NA,0.256823011805563,0.264129033335896
"S100A4",-0.504695054219956,0.709833847880871,-0.32124605297102,NA
"HERC3",0.268438882923676,-0.230202395255414,NA,NA
"ORAI2",-0.241826968824042,0.119747232203243,NA,0.261473438183993
"TPI1",0.287654144750255,NA,-0.358115721042858,NA
"PRDX5",-0.28397812850682,0.119600171185179,0.283620602768246,-0.120603364696178
"OST4",0.235301408209202,NA,-0.27710079857242,NA
"RRS1",-0.469120918776986,-0.402831076467945,1.09587162959074,-0.332427836108195
"AKAP12",-0.288523035617033,NA,0.413511200173342,-0.210918983506303
"YAF2",0.291182571795435,NA,-0.289426427386045,-0.180358028814961
"FAM210A",0.31939317070757,-0.264166424441574,-0.114700606674611,NA
"LSM12",0.27768707890059,-0.173734696561825,NA,-0.123581685286835
"RBBP7",-0.293370892043758,0.118247680485361,0.226850500053651,NA
"PPP1CA",-0.313227418424662,NA,0.195144409510234,0.295233613815125
"SPRY1",0.229240546785309,-0.136241662493595,-0.113824440031509,NA
"LAMTOR5",0.255095720678462,-0.101655412058883,-0.207368763794544,NA
"RBMX",-0.278007900427247,NA,0.205570111494787,0.211942118597855
"NFKB1",0.302317003001902,-0.249564603173335,-0.131386196824662,NA
"TNFRSF18",0.352582568557123,-0.180164751611102,-0.223932653591028,NA
"SPINT2",-0.414403733384514,-0.190009085934038,0.836467686027873,-0.286713991395789
"MT-ND2",-0.347831997843574,0.297437746137072,NA,NA
"NEK7",0.245224957791576,-0.209176997322281,-0.108375653344907,NA
"MT2A",0.13939260149695,0.697988616281041,-0.962748268766097,-0.703712425690898
"UNQ6494",0.213537989379516,-0.265761031464473,NA,0.115873097366501
"NOB1",0.26413619197791,-0.17253833269753,NA,-0.170480371006966
"CLIP1",-0.313958359102028,NA,0.185666694724653,0.180366707021263
"CSNK1G3",0.296165776017189,-0.120780345625745,-0.202771830533396,-0.101796034767596
"RPS10",-0.20925781745293,-0.211893935833036,0.360234660317956,0.228870184400276
"IKZF1",-0.295087372671803,-0.274539489368776,0.473934105500288,0.29991356344684
"RIMKLA",0.292312239761043,-0.103061390631806,-0.200449488969284,-0.131290354080487
"UBC",0.306725499582846,NA,-0.490191161589993,-0.139452246851955
"STAMBP",0.29555167526953,NA,-0.334523659883054,-0.220336614947624
"ALDOA",0.220100848217545,NA,-0.193957591051855,NA
"RPS16",-0.157847386536461,NA,0.264228244017239,NA
"RGS16",0.421264340022754,0.185769209554913,-0.53902459463824,-0.637662447316078
"PIM3",0.414261703895767,NA,-0.401906687555404,-0.442082016758762
"HNRNPM",-0.316376582512775,NA,0.31088287091583,0.120408280912882
"TRAF3IP3",0.367438138617977,-0.617209122997265,NA,0.327239179303214
"MRPS6",0.285082670012669,-0.164218057070751,NA,-0.154352462447656
"CCNG2",0.266056287487054,-0.141067520035753,-0.123212440165391,-0.108641154201776
"SOCS3",-0.287856396407063,0.3654949415452,NA,NA
"CSGALNACT1",0.127512756419399,NA,NA,NA
"SYTL3",-0.512040636218263,-0.475775922899539,0.865236665233783,0.318474505549455
"WHSC1L1",0.316995220188219,-0.466413615239386,NA,0.107142787815935
"SIRPG",0.278583552339123,-0.302277884494745,NA,NA
"XAF1",-0.327438809161659,NA,-0.227657317643414,0.682371783226777
"STK38L",0.246429463520611,NA,-0.194703302207137,-0.177402460561431
"ARF6",0.303916333623561,NA,-0.287286986590233,-0.182515917952806
"CISD3",-0.239815043319901,NA,0.202821319294076,NA
"C19orf43",-0.290776221390583,0.110151330054279,NA,0.265032409921285
"HNRNPDL",0.252323042292299,-0.152084429100072,-0.100945371426961,NA
"CPSF6",-0.237015997813997,0.111626788270298,0.164741060192447,NA
"P2RY10",0.227001930155638,-0.208486881014504,-0.126742311068085,0.100269438579452
"FKBP5",-0.211030788527634,NA,0.101878816648844,0.123477175318389
"CLEC2D",0.36164914165368,-0.411737442694596,-0.204518599241313,0.261721551133133
"ADM",0.311787024741062,NA,-0.445056427657089,-0.241370198589252
"RP5-1171I10.5",-0.318818329888051,NA,0.224295082788847,0.306752056349658
"HDAC1",-0.292434344116086,NA,0.243827627934413,NA
"DIXDC1",0.26109577627193,0.221708925069575,-0.362110340692021,-0.558249700570182
"PJA2",0.279313028405772,-0.232145534185695,-0.180521270588283,0.105967987322526
"FOXP1",0.25901531915083,-0.181077557692614,-0.105975248062487,NA
"SRSF10",-0.287233988114761,NA,0.189793460399496,0.189258777698222
"PTK2",0.172131337469569,NA,-0.119323128239527,-0.144674859646397
"PKIA",0.230556569873184,NA,-0.152444877952653,NA
"TIMP1",-0.805103087486259,1.40879428432596,-0.652923712255571,-0.924931412313826
"OLFM2",0.172972428069296,NA,-0.161839359113887,NA
"LIMA1",-0.709973909037596,-1.10046384853054,1.67570229409424,NA
"PSMA4",-0.314597238289261,NA,0.273154184337368,0.139022201603107
"HLA-A",0.248521923109642,0.102918376254492,-0.566335584813291,NA
"TNFRSF8",-0.149684647889316,0.236759952870597,NA,-0.117575133790025
"SNHG7",0.279708458186865,-0.198065148275581,NA,-0.236949636736427
"DPP4",-0.187972893088757,NA,NA,0.428214741937937
"CD247",0.281628018602304,-0.312188147521317,-0.10556274485162,0.138886812771269
"TAGAP",0.411661417266786,-0.267072877178885,-0.20123993295133,NA
"INSIG2",0.31579135291373,NA,-0.306791081530908,-0.108595128753588
"H2AFZ",-0.400077320442934,0.661799217821474,-0.285723758764918,-0.218287001100008
"PLIN2",0.195944945730571,0.250248883102961,-0.5558170592147,-0.187015120929934
"SLC16A1-AS1",-0.185008206321981,NA,NA,0.122021072510495
"MLLT3",0.248831560110874,-0.163981532817611,-0.31657005367086,0.213331306617505
"EVI2B",0.249119813054594,-0.199317639795963,NA,-0.200268833820211
"TPM4",-0.362535923577909,NA,0.306449790218106,0.140577379143238
"FASN",-0.111275218761562,NA,NA,NA
"LRRFIP1",-0.255659371874432,NA,0.337929320392699,0.10603161236172
"VAMP4",0.275562574105649,NA,-0.245980508186152,NA
"NKG7",-0.501458598117823,NA,0.418377953515731,0.199239762597085
"FKBP11",-0.289021280038921,0.176081062291305,0.131583706145088,NA
"TIMD4",-0.133365664346852,NA,NA,NA
"MBIP",0.208140959483772,NA,NA,-0.207317898229805
"HNRNPA2B1",-0.339155959067989,-0.108907761602921,0.40758465443252,0.20611840820418
"GABPB1-AS1",-0.350775887559936,-0.106690719167861,0.396617152091681,0.237773470352145
"NFKBIA",0.597155356675651,0.20633054648835,-0.784236189135353,-0.8774359501269
"ANKRD36C",-0.251144996927372,NA,0.225276951740559,0.303578279159523
"NOP56",-0.312869700619885,NA,0.27378827749489,0.107457242921118
"CD82",0.348070282409684,NA,-0.323366894068383,-0.204831664066317
"MAT2A",-0.207824493886426,NA,0.125542362509548,0.108989073159626
"FTL",-0.321827894001872,0.378150438051264,-0.256229858488063,0.2014641542675
"PLPP5",0.261529993323697,-0.144494894835629,-0.112903093875919,-0.106928360859193
"CORO1B",0.322756699976738,-0.115634518972947,-0.24423799238138,-0.113568129380751
"ZNF106",-0.227492585339846,NA,0.320043542296164,0.107842525555806
"RPL6",-0.257863393966384,-0.128564613045041,0.414958335359182,NA
"GNG2",0.307736091422847,-0.119161336696799,-0.396531821618643,0.114914463711939
"SERBP1",-0.246242173269755,-0.173483300573309,0.324500376754275,0.280457640946597
"DYNLL1",-0.413989111188011,0.196235582529723,0.140692064228913,0.182330223759886
"RPS4Y1",-0.255893554039127,-0.285452258859454,0.38291603095528,0.384294024672069
"MFSD10",0.244800848067858,NA,-0.326224173848987,-0.210602035413482
"AAK1",0.374879328530358,-0.123285147169037,-0.285773448975489,-0.159305980729928
"PGAM1",0.269493770917646,0.155977766134305,-0.432754929839021,-0.308101791829258
"EIF5A",-0.30521156698441,NA,0.425714740282858,0.102687423718237
"AK2",0.282131783312375,NA,-0.128818271316749,-0.26050137038454
"CD200",0.317816383874511,NA,-0.257453117483213,-0.433170453682217
"EBNA1BP2",-0.231015753056552,0.112549510259059,0.196828077809703,NA
"NR4A2",0.201559598240715,-0.100585155712876,-0.131892733313097,NA
"ERMN",0.123619061132947,NA,NA,NA
"ALOX5AP",0.367373546336346,NA,-0.328096803244017,-0.144382418535658
"TRIB3",-0.298356906915398,NA,0.314398246212247,NA
"NRDC",-0.222714250933371,NA,0.272151603410686,NA
"VKORC1",0.242788629309245,NA,-0.335840044371733,-0.22846907424067
"FUS",-0.282987308823125,0.155034135031674,0.13937010599844,NA
"PEX2",0.209522576474319,-0.174458902322732,NA,NA
"COPRS",0.315673715026436,NA,-0.268489514537492,-0.203857500516724
"ABHD14B",0.21613014949256,NA,NA,-0.188334512003277
"MEA1",0.238128032198789,NA,-0.221971716235531,NA
"NFIL3",-0.178003517299022,-0.167331660960188,0.322519698295501,0.157867264352818
"MGEA5",0.227618225901751,-0.262424584243873,NA,0.105815261705527
"PPP1R15A",0.346181837038923,NA,-0.395253371430344,-0.173051200187267
"TADA3",-0.259706219031536,0.102710219252266,0.258429982794527,NA
"SBF2-AS1",0.243501215347456,NA,-0.170810882427816,-0.264458887006015
"ERO1A",0.258601703379846,-0.177840852658407,-0.202418091751316,NA
"ETFB",-0.4070484771911,-0.376895369751602,0.939339056056672,-0.154774791664014
"FABP5",0.356096562891668,NA,-0.365514260164084,-0.373194638924246
"SEPT1",-0.235177099758521,0.123580784417698,NA,0.119549794743284
"PGK1",0.349072463115423,NA,-0.407935960979055,NA
"MRPL44",0.215377380835516,-0.127543291361178,NA,NA
"WDR33",0.301992152239495,-0.168765629441455,NA,-0.186341483181388
"ANXA5",0.282145646384318,NA,-0.348134226378776,NA
"CHST12",-0.161702465815374,NA,NA,0.267460816889096
"RNF19A",-0.329317736965545,NA,0.483805297793458,NA
"PPIB",-0.244957463347163,NA,0.29489178247541,NA
"LUC7L3",-0.290082573169523,0.110886312186212,0.126074801926833,0.150765207886583
"RPS20",-0.15814721471332,NA,0.163956195715426,NA
"NPW",0.15532606761001,NA,NA,NA
"LEF1",0.259773773632776,NA,-0.394348928292584,-0.148770419386882
"MSH6",-0.204876481405998,NA,0.214555879338588,0.175085125848577
"MMP25-AS1",-0.147424530960335,NA,0.179126348938519,0.167941635275859
"UFD1L",-0.255828134523489,NA,0.376318942804127,NA
"MGST2",0.248165722752335,NA,-0.346878598533477,-0.150734881823762
"DDHD1",-0.218035272865775,-0.223555002893864,0.244563954233875,0.419818787772024
"PTMA",0.199481331396896,-0.153729502281399,-0.102058731911803,NA
"CLEC2B",0.334873250997069,NA,-0.881372481741224,0.469775206451131
"PSMB8",-0.259861560225098,-0.19841536056669,0.418923733134272,0.204706182707926
"RNF181",0.233538511319496,NA,-0.210672611378846,-0.12548060382076
"BCL2L11",0.252427877644336,-0.290295387128645,NA,NA
"PSMB2",-0.222144111475681,NA,0.138656576635522,0.10466682678593
"NFKB2",0.244850060796088,NA,-0.310822008965302,NA
"STIP1",-0.201489112559816,-0.133252661339208,0.320654875304007,0.144197146084863
"ME2",-0.195454716997614,NA,0.211677254884547,NA
"PDIA3",-0.287268548995967,NA,0.232349078832128,0.143317651742462
"MGAT1",0.268706740194796,-0.175953814395139,-0.115863471771897,NA
"NDUFA13",-0.245444381421688,NA,0.25326025869694,0.170271215767707
"EPAS1",-0.182271172411343,0.293352596383296,-0.12454315213719,NA
"SAMHD1",-0.179032902234333,-0.104083222484248,NA,0.406563430889225
"TNFSF13B",0.231329957705995,NA,-0.308427188876314,NA
"LAYN",0.251235041645227,-0.32319817211332,-0.173387508426886,0.295420230922849
"RRP1B",-0.190512318523393,NA,0.15386376830749,0.23653238323044
"RBPJ",0.273721333011916,0.446570378859755,-0.688116586338734,-0.722264596326218
"JAK2",-0.162861419644478,NA,0.19195843876536,0.188767759470216
"CYBA",-0.327941116927088,0.156613213411943,NA,0.254022532606939
"P4HA1",0.242819704150196,-0.171329157966506,-0.170704889636253,NA
"NDUFC2",-0.268080312726931,0.13210528489025,NA,0.142985221007166
"ZC3HAV1",-0.313952770841113,0.140051353725255,NA,0.247064639569269
"PSMA5",-0.213755500468616,NA,0.2523402170867,NA
"TXLNA",-0.151265633531791,NA,0.174875646741143,0.118500908155772
"STRIP2",0.234581133005118,0.291109259169503,-0.516761656465164,-0.430229925698085
"SKIL",0.202221860100805,NA,-0.224590187633467,-0.219815507819182
"LINC00493",0.211756106355841,NA,-0.206919973956436,NA
"HIST1H1D",-0.448605550098505,-0.523346308707375,0.555578463429226,0.734473931571676
"HTATSF1",-0.205841512227829,-0.146571148052696,0.269806890899734,0.247981552654977
"C1orf162",-0.138482649902028,NA,0.128594074907032,0.117474874846493
"ST3GAL1",-0.234170028435818,-0.281726063773455,0.401140221464103,0.31905740526888
"SEC61G",0.264391515624679,NA,-0.227005778576856,-0.125571204744243
"SERPINB9",-0.132238508897311,NA,0.145683051098948,NA
"PNN",-0.320519491140193,NA,0.332716227570306,0.269163102545556
"GATA3",-0.454452139821284,-0.683258147058126,1.24322035211307,-0.188668163477459
"PPME1",0.219054979415392,-0.115267478342677,-0.102639731083653,NA
"PTPRN2",-0.18026548309668,-0.232892067345281,0.419931464565246,0.122072113780044
"IER2",-0.305393096816277,0.10237189687985,NA,0.339485408971198
"TAF1D",0.246613657490764,-0.260996086467589,0.127649364547141,-0.221995589993329
"HCLS1",-0.232706356106719,NA,0.216090071079687,0.146529172358075
"CXorf40A",0.235316655042042,NA,-0.222173872568554,NA
"AC133644.2",0.282316909864127,NA,-0.194883193644144,-0.320371053810957
"LSP1",0.35041955305801,-0.439079618826558,NA,0.176508404410449
"ZBTB25",0.181890430104325,NA,-0.224664028967068,NA
"NAE1",-0.18737128555468,NA,0.134126425515542,NA
"ABCG1",0.129654162600532,NA,-0.121852971252461,NA
"NDUFB4",0.227957840117383,NA,-0.236296372342097,NA
"RBM3",-0.229060173862391,-0.186632997912805,0.314225796181402,NA
"CTD-3138B18.5",0.190635088988708,NA,-0.13170813810157,-0.141127799927657
"CCL28",0.295198699750559,NA,-0.223431016980102,-0.144847430167459
"CENPV",-0.145067308698012,NA,0.153840641025789,NA
"FAM162A",0.258426363645249,NA,-0.288984093014265,-0.14632410001967
"DOCK8",-0.200079293340674,-0.138018728555394,0.170552132820104,0.358843421560128
"SPTSSA",-0.155707089919772,NA,0.134180246200505,0.136518901391797
"HPRT1",0.23639592402827,-0.11502235301516,-0.12856824337235,NA
"RAB29",-0.201403684027205,0.146246769001512,NA,0.159394614290925
"BCCIP",-0.157489429430203,NA,0.226033870400432,NA
